Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript,Winning Path One,Winning Path Two
Monte Carlo Beeline 3,Parallel MCTS Beeline,Two,Normal,27,86746,69,S01 S02 G N16 S15 G S22 S17 G N29 N03 G N33 S13 G S16 N34 G S04 N14 G S14 S31 G S04 S15 G,,N11 N27 N28 S38 S37 S18 S17 S16 S15 S14 S13 S12 S11
Monte Carlo Beeline 4,Parallel MCTS,Two,Normal,28,86885,23,N23 S14 G S36 S16 G N16 S34 G S40 S35 G S22 N25 G N33 S15 G S32 N33+ G N31 N35 G S33 S32 G N34,,N34 N33 N32 N31 N30 N29 N28 N27 N26 N25 N24 S34
Monte Carlo Beeline 3,Monte Carlo Beeline 3,Two,Normal,30,92206,53,N36 N03 G S30 N30 G S03 N34 G S10 N14 G S12 S14 G N12 N15 G N13 N17 G N13 N08 G N20 N06 G S37 N22 G,,N12 N11 N10 N02 N01 N07 N06 N21 N40 S30 S31 S14 S13 S12
Parallel MCTS,Monte Carlo Beeline 3,One,Normal,30,96288,42,S35 N17 G N24 S25 G N15 S30 G N27 N09 G N03 S04 G N34 S24+ G S15 N02 G N02 S19 G S06 S20 G N02 S06+ G,N16 N15 N33 N32 S22 S21 S06 S20 S19 S18 S17 S16,
Monte Carlo Beeline 3,Monte Carlo Beeline 4,One,Normal,31,96459,53,N36 S26 G S26+ S28 G N33 S05 G N37 N18 G S18 S35 G S16 S08 G S10 N07 G N23 N24 G S09 N38 G S06 S20 G N39,N31 N14 N15 N16 N04 N05 N19 N20 N39 N40 S30 S31,
Parallel MCTS Beeline,Monte Carlo Tree Search,One,Normal,31,96678,65,S05 S13 G S36 N28 G N04 S39 G S24 S34 G S22 N32 G S15 S26 G S17 S09 G S02 S10 G S25 S23 G N25 N08 G N07,N16 N04 N05 N01 N07 N08 N23 N24 S34 S35 S17 S16,
Monte Carlo Tree Search,Monte Carlo Beeline 4,One,Normal,31,98643,53,N36 S26 G S21 S30 G N32 S32 G N39 N28 G N23 S28 G S08 S29+ G N38 N30 G S36 N12 G S16 N36 G N36+ S18 G S37,N18 N17 N16 N15 N14 N13 N12 N29 N28 S38 S37 S18,
Monte Carlo Beeline 4,Parallel MCTS Beeline,Two,Normal,32,105910,23,N23 N14 G N19 N39 G S01 S34 G N21 N22+ G S11 S10 G N27 S36 G S13 S03 G S26 N09+ G S10 S11 G N26 S10+ G S10 S26,,N26 N27 N28 N29 N30 N31 N32 N33 N34 N35 N36 S26
Parallel MCTS Beeline,Monte Carlo Beeline 4,Two,Normal,34,106098,7,N09 N10 G N10+ N03 G N27 N14 G S02 S21 G S09 N11+ G S26 S34 G N35 S18 G N23 N22 G S38 S37 G N36 N20 G S38 S13+ G N36+,,N37 N36 S26 S27 S11 S12 S13 S03 S04 S05 S19 S18 S37
Parallel MCTS,Monte Carlo Tree Search,Two,Normal,21,65292,56,S30 S21 G N16 N15 G S26 N34 G S18 S23 G N31 N32 G S22+ N33 G N08 S24+ G,,N17 N35 N34 S24 S23 S22 S21 S06 S20 S19 S18 S17
Monte Carlo Beeline 4,Monte Carlo Beeline 4,One,Normal,21,66367,45,N28 S25 G N03 S10 G S07 S39 G N23 S19 G S37 S27 G S27+ S11+ G S11 S28+ G,N11 N27 N26 S36 S37 S18 S19 S05 S01 S02 S10 S11,
Monte Carlo Beeline 4,Parallel MCTS,Two,Normal,21,67599,45,N28 S36 G N07 N01 G S19 S39 G N38 S21 G S33 N25 G S06 N24 G N12+ N32 G,,N38 N39 N20 N06 N07 N08 N09 N25 N26 S36 S37 S38
Parallel MCTS,Parallel MCTS Beeline,Two,Normal,22,68398,62,S15 N28 G N33 S26 G S37 N37 G S11 N39 G N19 S30 G N24 N21 G N04 N25 G S24,,S24 N34 N33 N32 N31 N30 N29 N28 N27 N26 N25 N24
Parallel MCTS Beeline,Parallel MCTS,Two,Normal,22,68743,23,N23 S06 G N03 N13 G N35 N15 G N31 S01 G N16 N18 G S19 N16 G N38 N40 G N16,,N19 N05 N04 N16 N15 N33 N32 S22 S21 S06 S20 S19
Monte Carlo Beeline 3,Parallel MCTS Beeline,Two,Normal,22,68920,0,N07 S08 G S32 S20 G N27 S38 G S17 S04 G S29 S13 G N39 N40 G N10 S11 G S12,,N22 S32 S31 S14 S13 S12 S11 S10 S09 S08 S23 S22
Parallel MCTS Beeline,Parallel MCTS Beeline,Two,Normal,22,69561,12,N16 N25 G N20 S38 G S16 N14 G S18 S10 G S26 N37 G S35 N08 G N08 N22 G N36,,S36 N26 N25 N24 N23 N22 N21 N40 N39 N38 N37 N36
Monte Carlo Tree Search,Monte Carlo Beeline 3,One,Normal,24,76996,18,N20 N10 G N33 N34 G N23 S23 G N26 S34 G S09 S19 G N18 N36 G N35+ N37 G S01 N38+ G,N34 N35 N36 N37 N38 N39 N40 N21 N22 S32 S33 S34,
Monte Carlo Beeline 4,Monte Carlo Beeline 3,One,Normal,25,77881,36,N38 S21 G N13 N03 G S02 S10 G S13 S23 G S08 N19 G N35 N33 G N36+ S04 G S05 S23+ G N15,N01 N02 N03 N04 N16 N15 N33 N34 S24 S23 S08 S07 S01,
Monte Carlo Beeline 4,Monte Carlo Tree Search,One,Normal,25,79054,57,N40 S17 G N11 N04 G S04 S13 G N15 S15 G S30+ S16+ G N01 S15 G S15+ S14+ G S24 S15 G S32,N04 N05 N19 N20 N06 N21 N22 S32 S33 S15 S16 S04,
Monte Carlo Tree Search,Monte Carlo Tree Search,Two,Normal,27,84960,18,N20 S11 G N31 S13 G S24 N18 G S04 N36 G N37 S08 G N38 S01 G S03 S02+ G S02+ S21 G N19 S23 G,,N16 N15 N14 N31 N32 S22 S23 S08 S07 S01 S05 S04 S16
Parallel MCTS,Monte Carlo Beeline 3,One,Normal,27,86594,73,S02 N40 G S09 N38 G N10 S27 G S37 S29 G S39 S19 G S06 S35 G N25 N19 G N17 S16 G N24+ S30 G,N01 N02 N10 N09 N25 N24 S34 S35 S17 S16 S04 S05 S01,
Monte Carlo Tree Search,Parallel MCTS Beeline,One,Normal,27,86649,17,N05 N08 G N39 N38 G N29 N03 G N15 N33 G S15 S14 G N38 S15+ G S14 S12 G S11 S31 G S37 S19 G,N37 N36 N35 N34 N33 N32 N31 N30 N29 N28 S38 S37,
Parallel MCTS,Parallel MCTS,Two,Normal,27,86756,45,N28 N12 G S21 N31 G S27 N33 G S02 S23 G N23 S30 G N32 S05 G N20 N07 G N21 N22+ G S01 N21+ G,,N06 N07 N01 N02 N03 N13 N14 N15 N33 N32 S22 S21 S06
Monte Carlo Beeline 3,Parallel MCTS,Two,Normal,28,87068,17,N05 N08 G N13 N31 G S30 N16 G N34 S25 G N02 N26 G N04 N36 G N11 N27 G N38 N11 G S23 S08 G N11,,N34 N33 N15 N14 N13 N12 N11 N27 N26 N25 N24 S34
Monte Carlo Beeline 3,Monte Carlo Beeline 4,Two,Normal,28,87905,3,N06 N01 G N24 N10 G N08 N30 G S26 S33 G S11 S12 G N38 S20 G S24 N35 G S28 S38 G S16 S17 G S13+,,N03 N04 N16 N17 N18 N37 N38 S28 S29 S12 S13 S03
Parallel MCTS Beeline,Monte Carlo Beeline 4,Two,Normal,30,94393,1,N01 N07 G N26 N28 G S19 S39 G S37 S21 G N39 N20 G S20 S38 G S38 N37 G N39 N38 G S07 N07 G N36+ N19 G,,S36 N26 N25 N09 N08 N07 N06 N20 N39 N38 N37 N36
Parallel MCTS,Monte Carlo Beeline 4,One,Normal,31,96491,13,N04 N16 G S29 S28 G N30 N20 G S01 N21 G S08 S21 G N32 S20 G S06 S25 G S07 N40 G S10 N06 G S40 N08 G S38,N38 N39 N40 N21 N22 N23 N08 N07 N01 N02 N10 N11 N12 N29 N28 S38,
