Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript,Winning Path One,Winning Path Two
Monte Carlo Beeline 4,Monte Carlo Beeline 4,Two,Normal,22,78598,9,N03 N13 G N35 N31 G N03+ S04 G S09 S17 G S06 S01 G N19 S19 G S02 S05+ G S19,,N19 N18 N37 N36 S26 S25 S09 S10 S02 S01 S05 S19
Monte Carlo Tree Search,Monte Carlo Tree Search,One,Normal,30,92520,29,S40 S07 G N33 S23 G S26 S25 G S16 S26+ G S25 N32+ G N21 S22+ G S06 N28 G N31 N20 G S10 N38 G N38+ N37+ G,N20 N19 N18 N37 N36 S26 S25 S09 S08 S07 S06 S20,
Monte Carlo Beeline 3,Monte Carlo Beeline 3,Two,Normal,32,121187,67,S20 S10 G S15 N33 G S27 S26 G S22 S03 G S13 S29 G N30 N29 G N12 N31 G S04 N28 G N04 N03 G S28 S31 G S05 S31,,N22 S32 S31 S30 S29 S28 S27 S26 S25 S24 S23 S22
Parallel MCTS Beeline,Monte Carlo Beeline 4,Two,Normal,18,134610,43,S33 N01 G N27 N22 G N24 S19 G S38 S22 G S16 N10 G S09 S25 G,,N19 N05 N01 N02 N10 N11 N27 N28 S38 S39 S20 S19
Monte Carlo Tree Search,Parallel MCTS,One,Normal,24,144231,28,N30 S38 G S36 S05 G S33 N06 G N24 N08 G S21 N33 G N28+ S21+ G S29 S34 G S28 S40+ G,N14 N31 N30 S40 S39 S20 S19 S05 S04 S16 S15 S14,
Monte Carlo Beeline 4,Monte Carlo Tree Search,One,Normal,25,83165,20,N22 S37 G S31 S32 G N28 N08 G N24 S19 G S16 N19 G S18+ S19 G N18 N17 G N03 S06 G S21,N21 N22 S32 S33 S15 S16 S04 S05 S19 S20 S06 S21,
Monte Carlo Beeline 3,Monte Carlo Beeline 4,Two,Normal,28,94246,5,N02 N10 G N31 N27 G S10 S01 G S15 S03 G S40 S21 G S27 S04 G N11 S17 G S20 S18 G S21 S22+ G S18,,N15 N33 N32 S22 S21 S06 S20 S19 S18 S17 S16 S15
Parallel MCTS,Monte Carlo Beeline 3,One,Normal,19,109528,42,S35 S11 G N19 N27 G S32 N31 G S38 N03 G N37 S03 G S23 N16 G N12,N16 N04 N03 N13 N12 N11 N27 N26 S36 S35 S17 S16,
Parallel MCTS,Monte Carlo Tree Search,Two,Normal,18,153661,24,N26 S25 G N21 S18 G N35 S29 G N02 N14 G N08 S22 G N06+ S20 G,,N10 N02 N01 N07 N06 N21 N40 S30 S29 S28 S27 S26 S25 S09 S10
Parallel MCTS Beeline,Parallel MCTS Beeline,One,Normal,21,168219,24,N26 N37 G S31 N38 G N01 N22 G S18 S19 G S16 S24 G N10 S17 G N08 N06 G,N05 N01 N07 N08 N09 N25 N26 S36 S35 S17 S16 S04 S05,
Parallel MCTS Beeline,Monte Carlo Tree Search,Two,Normal,24,140387,73,S02 S37 G S32 N35 G S25 N16 G N20 S16 G S34 S35 G S04 N01 G N21 S29 G N39+ N14 G,,N19 N20 N39 N40 S30 S31 S32 S33 S34 S35 S17 S18 S19
Monte Carlo Beeline 3,Monte Carlo Tree Search,One,Normal,19,60942,11,N12 S38 G S23 N35 G N25 N16 G S34 N33 G N14 S26 G N23 S25 G S24,N25 N09 N10 N11 N12 N13 N14 N15 N33 N34 S24 S25,
Monte Carlo Tree Search,Parallel MCTS Beeline,One,Normal,21,94394,41,N24 N16 G S37 N14 G N11 N01 G N09 S35 G S23 N27 G S10 N27 G S04 S15 G,N22 N23 N24 S34 S35 S36 N26 N27 N11 N12 N13 N14 N31 N32 S22,
Parallel MCTS,Parallel MCTS,One,Normal,24,173013,24,N26 S36 G S17 S18 G N19 S23 G N36 S04 G S39 N01 G S13 S10 G N03 S20 G S27 S20 G,N11 N27 N28 S38 S39 S20 S19 S05 S01 S02 S10 S11,
Monte Carlo Beeline 4,Parallel MCTS Beeline,One,Normal,30,177889,74,S09 N26 G S36 S14 G N24 S23 G S04 S24 G N04 N17 G S03 S12 G N12 S34 G N22 N34 G S40 N33 G N33 S08 G,N08 N23 N22 S32 S31 S30 S29 S12 S11 S10 S09 S08,
Monte Carlo Beeline 4,Parallel MCTS,One,Normal,25,121465,25,S36 S04 G N39 S13 G S08 N06 G S34 S33 G S24 S34+ G S17 S32 G N23 N08 G N24+ N23 G N32,S32 S31 S14 S13 S12 S11 S10 S09 S08 S23 S22 N32,
Parallel MCTS Beeline,Parallel MCTS,Two,Normal,24,158568,41,N24 N28 G N39 S21 G S19 S14 G S17 S16 G N05 S17+ G N16 S18 G N18 N17 G N17+ S16 G,,N15 N16 N17 N18 N37 N38 N39 N40 S30 S31 S14 S15
Parallel MCTS Beeline,Monte Carlo Beeline 3,One,Normal,25,101037,24,N26 S14 G S23 S22 G N01 N39 G S19 S20 G N17 N04 G S38 S37 G N19 S19 G N22 N05 G N19,N35 N17 N18 N19 N05 N01 N07 N08 N09 N25 N26 S36 S35,
Monte Carlo Tree Search,Monte Carlo Beeline 4,One,Normal,24,80114,5,N02 S36 G S02 S10 G N32 S22 G S25 S24 G S24+ S26 G S32 N23 G N15 S33 G S25 S23 G,N08 N07 N01 N05 N04 N16 N15 N33 N34 S24 S23 S08,
Monte Carlo Tree Search,Monte Carlo Beeline 3,One,Normal,39,128004,77,S03 S35 G S30 S33 G N24 S16 G S14 S37 G N18 N26 G S27 S32+ G S14 S13 G N15 N36 G S35 S25 G S24 N12 G N13 S13 G S14 N29 G N38 S15 G,N07 N01 N05 N04 N03 N13 N12 N29 N30 S40 S39 S20 S06 S07,
Parallel MCTS,Monte Carlo Beeline 4,One,Normal,27,96816,10,N14 N20 G N10 N04 G N38 S29 G N36 N08 G S19 N01 G S20 N05+ G N01 S07 G S07+ S23 G S25 N21+ G,N23 N08 N07 N01 N02 N03 N13 N14 N31 N32 S22 S23,
Monte Carlo Beeline 4,Monte Carlo Beeline 3,One,Normal,31,101297,48,S22 S38 G N09 N02 G S01 S08 G S06 S20 G N39 N14 G S14 N12 G S21 S06 G S11 S21+ G S12 N30 G N29 S40+ G N15,N02 N03 N04 N16 N15 N33 N32 S22 S21 S40 S39 S20 S19 S05 S04 S03 S02,
Monte Carlo Beeline 3,Parallel MCTS,Two,Normal,28,108545,62,S15 S34 G S31 N22 G N18 N06 G S10 S29 G S37 S13 G N40 N21 G N13 S33 G S12 S32 G N21 N20 G S14+,,N01 N07 N08 N09 N25 N24 S34 S33 S15 S14 S13 S12 S11 S10 S02 S01
Parallel MCTS,Parallel MCTS Beeline,One,Normal,31,125490,51,S21 S34 G N01 S03 G S31 S01 G S16 N08 G N26 N25 G S09 N26+ G S26 S08 G S24 S23+ G N23 N25 G S24 N34 G N10,N23 N08 N09 N10 N11 N27 N28 S38 S39 S40 S21 S22 S23,
Monte Carlo Beeline 3,Parallel MCTS Beeline,One,Normal,39,185094,10,N14 N10 G S10 N39 G N17 N03 G S40 S14 G S31 N19 G N37 S38 G S06 S20 G N37 N18 G N19 N20 G S18 S05 G N18 N20 G S20 N30 G N38 N37 G,N17 N18 N37 N38 S28 S29 S30 S31 S14 S15 S16 S17,
Monte Carlo Beeline 3,Monte Carlo Beeline 4,One,Normal,21,85791,39,N39 S28 G N18 N37 G S35 N18+ G S20 N37 G S32 N38 G N30 S40 G N38 S38 G,S36 S35 S34 S33 S32 N22 N21 N40 N39 N38 N37 N36,
Monte Carlo Beeline 4,Monte Carlo Tree Search,Two,Normal,22,86969,3,N06 N03 G N36 N27 G S02 S12 G N10 N17 G N25 N34 G N15 S39 G N33 S38 G N33,,N13 N14 N15 N33 N34 S24 S25 S26 S27 S11 S12 S13
Monte Carlo Beeline 4,Monte Carlo Beeline 3,Two,Normal,24,93509,37,S28 S21 G N27 N26 G N26+ S37 G S34 S31 G S17 N33 G S36 N32 G N32 S24 G N36 N22 G,,N34 S24 S23 S22 S21 S40 S39 S38 S37 S36 S35 S34
Monte Carlo Beeline 3,Monte Carlo Beeline 3,Two,Normal,28,106694,39,N39 S23 G N29 N30 G N04 S30 G S39 N25 G S12 S29 G S26 S27 G S11 S13 G S02 S03 G S06 S34 G S03,,N29 N28 S38 S39 S40 S21 S22 S23 S08 S07 S01 S02 S03 S13 S14 S31 S30 S29
Monte Carlo Tree Search,Monte Carlo Tree Search,Two,Normal,27,107258,18,N20 N31 G N25 N11 G S40 N02 G S06 N13 G N16 N14+ G N13 N04 G N04+ S04 G N13 S17 G S15 S13 G,,N13 N14 N31 N32 S22 S23 S08 S07 S01 S05 S04 S03 S13
Monte Carlo Tree Search,Monte Carlo Beeline 3,One,Normal,27,109168,18,N20 S31 G S38 S11 G S40 N38 G S29 S36 G N36 S17 G S18 S15 G S37 S25 G S37 S15 G N09 N16 G,S36 N26 N25 N09 N08 N07 N01 N05 N19 N18 N37 N36,
Parallel MCTS Beeline,Monte Carlo Beeline 3,Two,Normal,18,117025,55,S25 N31 G N36 N25 G N30 S40 G N38 S14 G N16 N33 G N34 S38 G,,N39 N38 N37 N36 N35 N34 N33 N32 S22 S21 S40 S39
Monte Carlo Beeline 3,Monte Carlo Tree Search,One,Normal,31,119334,14,N17 N01 G N31 N13 G N08 N15 G N06 N04 G S12 S13 G S19 S04 G N04 N03 G S02 S13 G N13 S15 G S17 N13 G N03,N11 N12 N13 N03 N04 N16 N17 N35 N36 S26 S27 S11,
Monte Carlo Tree Search,Parallel MCTS,One,Normal,18,119875,18,N20 S03 G S33 N25 G N28 N07 G N23 N05 G N02 S07 G S07+ N09+ G,N38 N39 N20 N19 N05 N01 N02 N10 N09 N25 N26 N27 N28 S38,
Monte Carlo Beeline 4,Monte Carlo Beeline 4,Two,Normal,34,124700,3,N06 N01 G N24 S16 G N09 S14 G S26 S10 G N35 N08 G N26 S32 G S33 S15 G S33 N13 G S33 N37 G S33 S12 G N13 N16 G S16,,N16 N04 N05 N01 N07 N08 N09 N25 N24 S34 S33 S15 S16
Parallel MCTS,Monte Carlo Beeline 3,One,Normal,21,128977,39,N39 N15 G S28 N11 G N38 N28 G S03 N30 G N07 N29 G S25 N30+ G N12+ N01 G,S40 N30 N29 N12 N11 N10 N09 N08 N07 N06 N21 N40,
Parallel MCTS,Monte Carlo Tree Search,Two,Normal,22,133515,66,S18 S35 G S05 N01 G N05 S40 G S12 N27 G N38 N10 G N29 N11 G N11+ N10 G S21+,,N29 N30 S40 S21 S06 S07 S01 S02 S03 S13 S12 S29
Parallel MCTS Beeline,Parallel MCTS,Two,Normal,21,138616,70,S06 S08 G N31 S10 G N40 S01 G N02 N13 G S04 N27 G N29 N10 G S14 N10 G,,N01 N02 N10 N11 N27 N28 N29 N30 N31 N32 S22 S23 S08 S07 S01
Parallel MCTS,Parallel MCTS Beeline,One,Normal,21,138670,63,S17 N40 G S33 S27 G S13 N36 G N33 N18 G N26 N38 G N34 S28+ G S39 N37 G,N27 N26 S36 S35 S17 S16 S04 S03 S13 S12 S11 S27,
Monte Carlo Tree Search,Parallel MCTS Beeline,One,Normal,21,92222,62,S15 N24 G S24 N20 G N14 S31 G S38 S40 G N04 N21 G S29 N06+ G N21 N02 G,N21 N06 N20 N19 N05 N04 N16 N15 N14 N31 N30 S40 S21,
Parallel MCTS Beeline,Monte Carlo Beeline 4,Two,Normal,27,146765,19,N18 N05 G N40 N06 G N38 S06 G S03 S13 G N32 N33 G S15 N21 G N24 N23 G N30 S32 G N12 S31+ G,,N30 S40 S39 S20 S19 S05 S04 S16 S15 S14 S31 S30
Parallel MCTS,Monte Carlo Beeline 4,One,Normal,27,148214,11,N12 N35 G S02 S24 G S28 S22 G N32 S06 G N07 S11 G N20 N06 G S27+ N02 G S26 N03+ G S39 S16 G,N06 N07 N01 N02 N10 N11 N27 N28 S38 S39 S20 S06,
Parallel MCTS Beeline,Parallel MCTS Beeline,One,Normal,25,148737,45,N28 N37 G S30 S31 G S03 S23 G S18 S39 G S19 N22 G N21 N34 G S25 S19 G S34 S11 G S19,N11 N27 N28 S38 S39 S20 S19 S05 S01 S02 S10 S11,
Monte Carlo Beeline 4,Parallel MCTS,Two,Normal,27,152483,3,N06 S30 G N21 S35 G S20 N24 G N27 N26 G N09 N25 G S25 N22 G N32 N23+ G N25 N34 G S27 S10 G,,S24 S25 S09 S10 S11 S12 S13 S14 S31 S32 N22 N23 N24
Monte Carlo Beeline 3,Parallel MCTS Beeline,One,Normal,30,154010,39,N39 N35 G S17 S10 G S21 S12 G S28 S14 G S03 S07 G N13 N04 G N15 N05 G S08 N25 G N05 S05 G S23 S01 G,N01 N07 N06 N21 N22 S32 S31 S14 S13 S03 S02 S01,
Parallel MCTS,Parallel MCTS,Two,Normal,30,167525,8,N13 S25 G S35 S06 G S03 S01 G N20 S19 G N21 S16 G N07 N08 G N08+ S32 G N06 N22+ G N07 N24+ G S05 N16+ G,,N19 N20 N39 N38 S28 S27 S11 S10 S02 S01 S05 S19
Monte Carlo Beeline 4,Parallel MCTS Beeline,One,Normal,33,167947,3,N06 N14 G N39 N28 G S30 N10 G S09 N03 G N26 N30 G S33 N29+ G N13 N25 G S03 S13 G S16 N02 G S19 N35 G S03 N19 G,N13 N03 N02 N01 N07 N06 N21 N22 S32 S31 S14 S13,
Monte Carlo Beeline 3,Parallel MCTS,Two,Normal,33,171612,79,S14 N16 G S06 N05 G N03 N20 G N23 N35 G S18 S26 G N27 N25 G S09 S08 G N11 S28 G S24 N17 G N10 S35+ G S25 S02 G,,N07 N06 N20 N19 N18 N17 N16 N15 N33 N32 S22 S21 S06 S07
Parallel MCTS Beeline,Monte Carlo Tree Search,Two,Normal,36,172745,47,S37 S07 G N28 N31 G S23 S40 G S11 S02 G S09 S01+ G S02 S29 G N10 N02 G S20+ S10 G S31 N11+ G N10 N35 G S14 N38 G S12 N20 G,,N01 N02 N10 N11 N27 N28 S38 S39 S20 S19 S05 S01
Monte Carlo Tree Search,Monte Carlo Beeline 4,One,Normal,48,140848,40,S34 N23 G N27 N09 G S11 S15 G N37 S04 G N33 S24 G S17 N39 G S37 S18 G N20 S20 G N20 N38 G S30 S37 G S28+ N26 G S40 N07 G S14 N26 G S21 N40 G N11 S21+ G S27 N11+ G,N01 N07 N06 N20 N39 N40 S30 S29 S12 S13 S03 S02 S01,
Monte Carlo Beeline 4,Monte Carlo Tree Search,One,Normal,18,57740,33,S24 N32 G N18 N15 G S15 S02 G S29 S11 G S13 S31 G N03 S13+ G,N16 N15 N33 N34 S24 S25 S26 S27 S11 S12 S13 S14 S15 S16,
Monte Carlo Tree Search,Monte Carlo Beeline 3,One,Normal,19,62593,18,N20 N17 G N27 N13 G S40 N05 G S01 N02 G N01 N29 G N31 N12+ G N29,N21 N06 N07 N01 N02 N03 N13 N12 N29 N30 S40 S21,
Parallel MCTS,Monte Carlo Beeline 3,Two,Normal,16,66398,61,S04 N18 G N23 N26 G S25 S35 G N01 N35 G S33 N05 G N07,,N17 N18 N19 N05 N01 N07 N08 N23 N24 S34 S35 S17
Monte Carlo Tree Search,Parallel MCTS,Two,Normal,18,74781,18,N20 S20 G N27 S02 G N32 S09 G S07 S23 G N36 S08 G N25 N13 G,,N25 N26 N27 N28 S38 S39 S20 S06 S07 S08 S09 S25
Parallel MCTS Beeline,Monte Carlo Beeline 3,One,Normal,19,75881,31,N31 N37 G S07 S38 G S35 S15 G S18 S17 G N34 S34 G N33 N16 G S16,N16 N15 N14 N31 N30 S40 S39 S38 S37 S36 S35 S17 S16,
Monte Carlo Beeline 4,Monte Carlo Beeline 4,One,Normal,24,76728,33,S24 N04 G N24 S04 G N18 S18 G S32 S33 G S15 N32 G S32+ N33 G N33+ S02 G N14 S08+ G,N33 N34 S24 S23 S08 S07 S01 S05 S04 S16 S15 S33,
Parallel MCTS Beeline,Parallel MCTS Beeline,One,Normal,19,80657,26,N25 S03 G S38 S18 G N01 N39 G S05 S20 G N19 S37 G S36 S35 G N18,N18 N19 N05 N01 N07 N08 N23 N24 S34 S35 S17 S18,
Monte Carlo Beeline 3,Monte Carlo Beeline 4,One,Normal,27,85709,4,N10 S09 G S33 S34 G N17 N04 G N15 N33 G S22 S19 G N39 N20 G S39 N40 G N07 N29 G N20 N38+ G,N35 N34 N33 N32 S22 S21 S40 N30 N29 N28 N27 N26 S36 S35,
Parallel MCTS Beeline,Monte Carlo Tree Search,Two,Normal,22,88199,13,N04 N30 G N17 N32 G S04 N15 G S27 N14 G N34 N31 G N13 N14 G S13 N13 G N14,,S28 S27 S26 N36 N37 N18 N17 N16 N15 N14 N13 N12 N29 N28
Parallel MCTS Beeline,Parallel MCTS,Two,Normal,21,89184,54,S27 S14 G N10 N02 G S21 S10 G N23 S03 G N31 S12 G N15 S11 G S23 N18 G,,N12 N11 N10 N09 N08 N23 N22 S32 S31 S14 S13 S12
Monte Carlo Beeline 3,Parallel MCTS,Two,Normal,22,89293,4,N10 S20 G S15 S21 G N31 N40 G S23 S17 G S04 S36 G S35 S34 G N23 N24 G S34,,N39 N40 S30 S31 S32 S33 S34 S35 S36 S37 S38 S39
Parallel MCTS,Parallel MCTS Beeline,Two,Normal,22,89894,3,N06 S05 G N01 N37 G S34 N22 G N27 N08 G S38 S36 G N07 N12 G N07 S25 G S37,,N01 N02 N10 N11 N27 N26 S36 S37 S18 S19 S05 S01
Monte Carlo Beeline 3,Monte Carlo Tree Search,Two,Normal,27,89988,25,S36 N18 G S08 N05 G N20 S38 G S18 N38 G S26 N36 G N10 N27 G N38 S17 G N14 N34 G N34 S24+ G,,N17 N35 N36 S26 S25 S09 S08 S07 S01 S05 S19 S18 S17
Monte Carlo Beeline 4,Parallel MCTS Beeline,One,Normal,24,93942,33,S24 S20 G S02 S11 G N21 N40 G S14 N21+ G S30 S29 G N11 N18 G S27+ N38 G S29 S12 G,N22 N21 N06 N20 N19 N18 N17 N35 N34 S24 S23 S22,
Monte Carlo Beeline 4,Parallel MCTS,One,Normal,25,94747,33,S24 N06 G S11 N01 G S19 S07 G N09 S29 G S06 S39 G N27 S06 G S37 N30 G S20 N35+ G S20,N17 N35 N34 S24 S23 S22 S21 S06 S20 S19 S18 S17,
Parallel MCTS Beeline,Monte Carlo Beeline 4,One,Normal,25,94796,25,S36 N26 G N32 N09 G S09 S34 G N28 N26 G S27 S07 G N19 N21 G N38 S04 G N39 S29 G S30,N10 N09 N08 N07 N06 N21 N40 S30 S29 S28 S27 S11 S10,
Monte Carlo Beeline 4,Monte Carlo Beeline 3,One,Normal,27,90757,52,S26 N06 G N35 N36 G N22 N21 G S37 N01 G N05 N18 G S32 S35 G N18 S10 G S16 S09+ G N01+ S04 G,N10 N02 N01 N05 N19 N18 N37 N38 S28 S27 S11 S10,
Monte Carlo Beeline 3,Monte Carlo Beeline 3,One,Normal,31,96630,4,N10 N19 G N32 N15 G N34 S25 G S36 N38 G S34 N24 G N36 S08 G S24 S01 G N25 S07 G S08 S23 G S23 N09 G S23,N08 N09 N10 N02 N03 N13 N14 N15 N33 N34 S24 S23 S08,
Monte Carlo Tree Search,Monte Carlo Tree Search,One,Normal,31,101019,18,N20 N14 G S26 S12 G S04 S30 G N38 S32 G S33 N22 G N22+ N29 G N21 N22 G S40 N40 G S32+ S29+ G N12 N11 G S30,N07 N06 N21 N40 S30 S31 S14 S13 S03 S02 S01 S07,
Monte Carlo Tree Search,Parallel MCTS Beeline,One,Normal,27,84517,40,S34 S37 G N01 N11 G N19 S15 G S23 N32 G S31 N09 G N17 N10+ G N34 N09 G N38 N25+ G S03 S33 G,S32 N22 N23 N24 N25 N26 N27 N11 N12 N13 N14 N31 N32,
Parallel MCTS,Monte Carlo Beeline 4,One,Normal,30,113168,55,S25 N04 G N38 N29 G S14 S22 G N31 N15 G N24 N13 G S12 N12+ G N13 N14 G N14+ N33 G S13 S02 G N30 S13+ G,N08 N23 N22 S32 S31 S14 S13 S03 S02 S10 S09 S08,
Parallel MCTS,Monte Carlo Tree Search,One,Normal,31,115193,1,N01 N12 G S35 S15 G N34 N17 G N15 N04 G N31 S03 G S10 S05 G S27 S11 G S04 S16 G S04 N40 G N22 S30 G N40,N04 N05 N19 N20 N39 N40 S30 S31 S14 S15 S16 S04,
Parallel MCTS,Parallel MCTS,One,Normal,31,119621,30,N29 S37 G S27 N08 G S06 S40 G S01 S10 G N32 N14 G S13 N30 G S29 S22 G N31 S29 G S11 N40 G S32 N21 G N40,N30 N29 N12 N11 N10 N02 N01 N07 N06 N21 N40 S30,
Monte Carlo Beeline 3,Parallel MCTS Beeline,Two,Normal,34,122813,4,N10 N37 G S36 N32 G S09 N14 G S14 N16 G S23 N12 G N04 N03 G S30 N04 G N04 S12 G N22 N31 G N29 S30 G N14 N03 G S31,,N31 N30 N29 N28 S38 S37 S18 S17 S16 S15 S14 S31
Monte Carlo Tree Search,Monte Carlo Beeline 4,One,Normal,36,112461,73,S02 S09 G S29 N22 G S23 S33 G N26 S31 G S15 S14 G S14+ S15 G S14 S13 G S15 S14+ G S05+ S15 G S14 N13 G S14 N03 G N01 S24 G,N13 N14 N31 N32 S22 S23 S08 S07 S01 S05 S04 S03 S13,
Monte Carlo Beeline 3,Monte Carlo Tree Search,One,Normal,19,59556,73,S02 N26 G S29 S26 G N19 S09 G S21 S11 G N37 S28+ G N21 N28 G S27,N05 N19 N18 N37 N36 S26 S27 S11 S10 S02 S01 S05,
Parallel MCTS,Parallel MCTS Beeline,Two,Normal,20,67350,61,S04 N12 G N23 N32 G S06 S30 G S23 S28 G S32 N09 G N21 N30 G S29 N30,,N30 N29 N12 N11 N10 N09 N08 N23 N22 N21 N40 S30
Monte Carlo Tree Search,Monte Carlo Tree Search,Two,Normal,22,67928,73,S02 S36 G S13 S34 G S18 S17 G N17 S29 G N28 N27 G N12 S37 G S28+ S16+ G N13,,N13 N12 N11 N27 N26 S36 S35 S17 S16 S15 S14 S13
Parallel MCTS Beeline,Monte Carlo Beeline 3,Two,Normal,22,68309,54,S27 S30 G N18 N15 G N21 N04 G S15 N36 G S17 N20 G N40 S03 G N39 S39 G S16,,N16 N04 N05 N19 N20 N39 N40 S30 S31 S14 S15 S16
Monte Carlo Beeline 4,Parallel MCTS,Two,Normal,22,71702,26,N25 N03 G N40 N14 G N12 N33 G N32 N16 G S16 N36 G N04+ S15 G N38 S14 G N38,,N22 N21 N40 N39 N38 N37 N36 N35 N34 N33 N32 S22
Parallel MCTS,Monte Carlo Tree Search,Two,Normal,22,72071,17,N05 N20 G N09 N28 G S26 S27 G S10 S12 G S28 S11 G S28 S29 G N37 N38+ G N38+,,N10 N09 N08 N07 N06 N20 N39 N38 S28 S27 S11 S10
Parallel MCTS Beeline,Parallel MCTS,Two,Normal,22,72164,39,N39 S38 G S31 N27 G N31 N21 G S16 S40 G N07 S08 G S20 S06 G S27 S07 G S07+,,N23 N22 S32 S33 S15 S16 S17 S18 S19 S20 S06 S07 S08 S23
Monte Carlo Beeline 3,Monte Carlo Beeline 4,Two,Normal,22,72242,15,N15 N04 G S26 N19 G S09 N17 G S13 N11 G S11 N09 G S25 N10 G S29 N09+ G N10,,N25 N09 N10 N02 N03 N04 N16 N17 N35 N36 S26 S25
Monte Carlo Tree Search,Parallel MCTS,One,Normal,25,77154,15,N15 S03 G S38 S12 G N09 N13 G N34 N04 G S35 N02 G N19 N11 G S32 S14 G N12+ S26 G S32+,N26 N25 N24 S34 S33 S32 S31 S30 S29 S28 S27 S26,
Monte Carlo Tree Search,Monte Carlo Beeline 3,One,Normal,25,77899,5,N02 N01 G N11 S34 G S20 S18 G S07 S27 G S13 N25 G S16 N36 G N10 N26 G N35 S26+ G S31,N35 N36 S26 S27 S11 S12 S13 S14 S31 S32 S33 S34 S35,
Monte Carlo Beeline 3,Parallel MCTS Beeline,One,Normal,25,77922,15,N15 S17 G S30 N40 G N27 N30 G S24 S39 G S26 N28 G N35 N28 G S02 S05 G S08 N24 G N23,N20 N06 N21 N22 N23 N24 N25 N26 N27 N28 S38 S39 S20,
Parallel MCTS Beeline,Monte Carlo Tree Search,One,Normal,25,78241,68,S07 S02 G N18 S17 G N09 S19 G S26 S11 G S01 N30 G N28 S39 G S37 N29 G S28 S05 G S04,N07 N08 N23 N24 S34 S35 S17 S16 S04 S05 S01 S07,
Parallel MCTS,Parallel MCTS,One,Normal,25,81068,4,N10 S17 G N39 S32 G N30 N23 G S08 N25 G S34 S15 G S15+ N34 G S26 N33 G N22 N32 G N32+,S24 N34 N33 N32 N31 N30 N29 N28 N27 N26 N25 N24,
Parallel MCTS,Monte Carlo Beeline 3,One,Normal,25,81809,19,N18 N16 G N07 N33 G N21 S18 G N36 N35 G S36 S32 G S22 N30 G S31 N06 G N39 N22 G N20+,N30 N31 N32 N33 N34 N35 N17 N18 N19 N20 N39 N40 S30,
Monte Carlo Tree Search,Monte Carlo Beeline 4,One,Normal,27,86444,34,N33 S32 G S26 N23 G S18 N07 G S05 N20 G N29 S36 G S35 S17+ G S20 S35+ G S29 S34 G S16+ S01+ G,N17 N16 N15 N33 N32 S22 S21 S06 S20 S19 S18 S17,
Monte Carlo Beeline 3,Monte Carlo Beeline 3,Two,Normal,28,86664,8,N13 S14 G S26 S28 G N17 N29 G S21 S12 G S02 N37 G N20 S37 G S23 N32 G S19 N40 G N10 S27 G S05,,N22 S32 S33 S15 S16 S04 S05 S19 S20 S06 S21 S22
Parallel MCTS,Monte Carlo Beeline 4,One,Normal,27,86810,7,N09 N02 G N28 S18 G N20 S35 G S07 S26 G S21 S06 G S25 S02 G S24 N37 G S36 N36+ G N17 N12+ G,N25 N09 N08 N07 N06 N20 N39 N38 S28 S27 S26 S25,
Monte Carlo Beeline 4,Monte Carlo Tree Search,Two,Normal,28,88474,45,N28 N12 G S21 S01 G N03 S17 G S10 S08 G S26 S20 G N33 S33 G S06 N37 G S06 N35 G S15 S03 G S34,,N34 N33 N32 S22 S21 S06 S20 S19 S18 S17 S35 S34
Monte Carlo Beeline 4,Monte Carlo Beeline 3,One,Normal,30,92799,50,S23 N19 G N11 N27 G N04 S11 G N02 N01 G S28 S05 G S26 N36 G N40 S35 G S39 S40 G N36 N08 G N24 S16 G,N37 N36 N35 N34 S24 S23 S22 S21 S40 S39 S38 S37,
Parallel MCTS Beeline,Parallel MCTS Beeline,Two,Normal,30,96220,12,N16 N26 G N20 N07 G S07 N02 G N05 N11 G S03 N22 G S23 S28 G S27 N36 G N30 S22 G N23 S22 G S33 S19 G,,N30 N29 N28 S38 S37 S36 S35 S34 S33 S32 S31 S30
Monte Carlo Beeline 4,Monte Carlo Beeline 4,One,Normal,31,96704,45,N28 S38 G S33 N28+ G N07 S40 G N38 N37 G S35 S05 G N02 S03 G S16 N09 G S16 N33 G S04 S25 G N14 S35+ G N14,N17 N35 N34 N33 N15 N14 N13 N12 N11 N27 N26 S36 S35 S17,
Monte Carlo Tree Search,Parallel MCTS Beeline,Two,Normal,32,105727,34,N33 S27 G N03 N19 G S21 S20 G N17 N18 G S05 N06 G N17 S31 G S16 S07 G N40 S37 G N20 N28 G S39 S40 G S38 N06,,N10 N02 N01 N07 N06 N21 N40 S30 S29 S12 S11 S10
Parallel MCTS Beeline,Monte Carlo Beeline 4,One,Normal,33,105825,9,N03 N13 G N35 N31 G S13 S03 G S18 S01 G N16 S11 G N17+ S03 G N15 S21 G S32 S23 G N21 S24+ G S23 S30 G S22 N39 G,N30 N31 N14 N15 N16 N04 N05 N01 N07 N06 N21 N40 S30,
Monte Carlo Beeline 4,Parallel MCTS Beeline,Two,Normal,33,105871,45,N28 N04 G S39 N17 G N32 N15 G N34 S25 G N30 S23 G N25 S34 G S24 S31 G S36 N08 G S01 N06 G N40 S35+ G S10+ S04 G,,N14 N15 N16 N04 N05 N01 N07 N06 N21 N40 S30 S31 S14
